iter	RMSE
0	173.0609126
1	154.0053491
2	137.7140182
3	124.1492853
4	112.7094739
5	103.1168272
6	94.96277332
7	88.13229293
8	82.37421272
9	77.57753309
10	73.66768974
11	70.35203278
12	67.47402119
13	65.15054434
14	63.07824296
15	61.31600609
16	59.80882543
17	58.59875635
18	57.50292877
19	56.68627112
20	55.84442479
21	55.16787289
22	54.59269342
23	54.00139946
24	53.4877609
25	53.07626001
26	52.65813691
27	52.30543917
28	51.97113524
29	51.6586838
30	51.43524617
31	51.28729039
32	51.11772659
33	51.00502403
34	50.86942843
35	50.69781765
36	50.60987826
37	50.45804069
38	50.39076803
39	50.28454648
40	50.21835012
41	50.14523724
42	50.09263827
43	49.98793295
44	49.93936306
45	49.8747982
46	49.84407862
47	49.82565234
48	49.82308711
49	49.78595184
50	49.74268874
51	49.68009137
52	49.61483379
53	49.61430604
54	49.58192966
55	49.57334591
56	49.56003985
57	49.55981491
58	49.54861649
59	49.53107741
60	49.5063295
61	49.46343506
62	49.46097422
63	49.45781609
64	49.44283252
65	49.43367919
66	49.42685046
67	49.42365342
68	49.41042249
69	49.41038576
70	49.40789341
71	49.40786455
72	49.4066262
73	49.4060936
74	49.37936938
75	49.34970466
76	49.34934218
77	49.33180845
78	49.32382242
79	49.30945797
80	49.30693424
81	49.30632168
82	49.30586687
83	49.30259363
84	49.28507746
85	49.28422529
86	49.28358879
87	49.28327053
88	49.28327053
89	49.25324264
90	49.25295051
91	49.25091342
92	49.23517446
93	49.23517446
94	49.23409237
95	49.23391597
96	49.23391334
97	49.21288809
98	49.21284858
99	49.19599871
100	49.19589332
101	49.19581427
102	49.19575367
103	49.19575894
104	49.19575894
105	49.1717623
106	49.17175966
107	49.1717623
108	49.15865606
109	49.15865342
110	49.15833699
111	49.15833699
112	49.15830799
113	49.15831063
114	49.15828689
115	49.15827635
116	49.15826843
117	49.15825261
118	49.15825261
119	49.14563337
120	49.14562809
121	49.14562282
122	49.14562282
123	49.14562282
124	49.14561754
125	49.14562018
126	49.14561754
127	49.14561754
128	49.1456149
129	49.14561754
130	49.14561226
