iter	Passed	Remaining
0	17	1257819
1	34	1215586
2	52	1217785
3	71	1243895
4	85	1198106
5	103	1207171
6	118	1183385
7	133	1164570
8	149	1159552
9	163	1145144
10	176	1125352
11	192	1124310
12	208	1121835
13	223	1117704
14	238	1111947
15	253	1110842
16	269	1110247
17	288	1120193
18	307	1133499
19	323	1132078
20	338	1129207
21	352	1122759
22	365	1113312
23	380	1110443
24	396	1111083
25	413	1112691
26	432	1120321
27	460	1151274
28	480	1159137
29	497	1161013
30	514	1160436
31	533	1167119
32	551	1170286
33	568	1170325
34	586	1172558
35	602	1171165
36	619	1171739
37	636	1172014
38	651	1169250
39	666	1165640
40	680	1161675
41	695	1158786
42	714	1162351
43	729	1159077
44	747	1161965
45	762	1158928
46	775	1153722
47	789	1150402
48	803	1147214
49	822	1150174
50	840	1153360
51	859	1156140
52	873	1152802
53	884	1145882
54	899	1144023
55	913	1141438
56	931	1143481
57	945	1139931
58	958	1136757
59	974	1136257
60	994	1140702
61	1012	1142264
62	1023	1136398
63	1035	1131391
64	1050	1130111
65	1067	1131231
66	1081	1129024
67	1093	1124931
68	1106	1121777
69	1117	1116167
70	1128	1111834
71	1138	1106136
72	1151	1103435
73	1165	1101113
74	1182	1102494
75	1201	1105355
76	1214	1102586
77	1230	1102654
78	1244	1101764
79	1260	1101625
80	1276	1102017
81	1317	1123011
82	1349	1137071
83	1368	1139234
84	1386	1140432
85	1405	1142942
86	1424	1145051
87	1441	1144918
88	1457	1144618
89	1475	1146459
90	1489	1144277
91	1505	1144305
92	1521	1143645
93	1532	1139385
94	1544	1136418
95	1560	1136211
96	1574	1134728
97	1602	1143182
98	1617	1142146
99	1636	1143773
100	1650	1142435
101	1666	1142227
102	1684	1142800
103	1700	1142863
104	1716	1142828
105	1740	1147504
106	1750	1143562
107	1784	1154758
108	1818	1166103
109	1832	1164524
110	1849	1164361
111	1861	1161362
112	1874	1159108
113	1882	1154207
114	1895	1152177
115	1909	1150149
116	1922	1148118
117	1939	1148400
118	1949	1144718
119	1966	1144899
120	1983	1145384
121	1996	1143321
122	2008	1140777
123	2020	1138551
124	2033	1136495
125	2043	1133160
126	2055	1131157
127	2068	1129333
128	2083	1128314
129	2102	1129774
130	2112	1126631
131	2124	1124635
132	2137	1122761
133	2148	1120204
134	2160	1118266
135	2173	1116396
136	2184	1113882
137	2195	1111478
138	2208	1109932
139	2228	1112258
140	2245	1112403
141	2259	1111403
142	2270	1109164
143	2282	1107077
144	2297	1106662
145	2314	1107324
146	2330	1107387
147	2342	1105570
148	2355	1104445
149	2368	1102771
150	2380	1100935
151	2393	1099835
152	2406	1098770
153	2420	1097583
154	2437	1098151
155	2451	1097371
156	2467	1097532
157	2484	1098166
158	2497	1096954
159	2514	1097501
160	2537	1100930
161	2567	1106710
162	2581	1106201
163	2592	1103791
164	2604	1102221
165	2617	1101135
166	2632	1100952
167	2646	1099865
168	2657	1098195
169	2670	1096852
170	2683	1095628
171	2700	1096286
172	2711	1094486
173	2732	1096472
174	2745	1095537
175	2755	1093205
176	2770	1092923
177	2782	1091629
178	2798	1091759
179	2813	1091185
180	2827	1090520
181	2838	1088795
182	2849	1087267
183	2860	1085327
184	2874	1084631
185	2883	1082135
186	2896	1081236
187	2907	1079638
188	2917	1077778
189	2927	1075448
190	2936	1073096
191	2945	1070753
192	2955	1068986
193	2965	1067001
194	2976	1065460
195	2987	1063820
196	2996	1061611
197	3005	1059572
198	3016	1057919
199	3026	1056422
200	3036	1054379
201	3045	1052489
202	3055	1050675
203	3071	1050754
204	3089	1051734
205	3099	1049967
206	3108	1048205
207	3119	1046723
208	3130	1045306
209	3141	1043968
210	3151	1042210
211	3161	1040591
212	3171	1038960
213	3181	1037564
214	3192	1036075
215	3204	1035430
216	3215	1034038
217	3226	1032657
218	3237	1031445
219	3246	1029760
220	3256	1028232
221	3265	1026274
222	3274	1024735
223	3284	1023104
224	3295	1022087
225	3308	1021325
226	3321	1020930
227	3331	1019581
228	3341	1017951
229	3352	1017000
230	3363	1015892
231	3373	1014345
232	3383	1012989
233	3392	1011482
234	3401	1009889
235	3412	1008735
236	3423	1007643
237	3432	1006219
238	3441	1004662
239	3452	1003409
240	3460	1001725
241	3470	1000385
242	3479	998791
243	3489	997537
244	3501	996986
245	3512	995964
246	3526	995935
247	3541	996192
248	3557	996514
249	3570	996234
250	3581	995258
251	3591	994031
252	3603	993304
253	3616	993079
254	3628	992341
255	3638	991270
256	3647	989890
257	3661	989636
258	3671	988613
259	3688	989330
260	3698	988247
261	3710	987525
262	3723	987417
263	3734	986539
264	3750	986826
265	3764	986983
266	3779	987026
267	3796	987899
268	3807	987094
269	3819	986446
270	3834	986581
271	3846	985989
272	3855	984765
273	3864	983426
274	3874	982245
275	3888	982386
276	3902	982368
277	3913	981584
278	3924	980625
279	3934	979811
280	3946	979154
281	3957	978382
282	3968	977734
283	3981	977254
284	3991	976267
285	4002	975662
286	4016	975535
287	4029	975431
288	4042	975201
289	4056	975144
290	4072	975615
291	4082	974637
292	4092	973637
293	4106	973583
294	4117	973004
295	4129	972378
296	4142	972218
297	4152	971294
298	4162	970358
299	4175	970142
300	4186	969361
301	4195	968316
302	4207	967869
303	4224	968627
304	4235	967898
305	4246	967111
306	4260	967115
307	4273	966970
308	4286	966874
309	4300	966708
310	4315	966966
311	4333	967893
312	4344	967240
313	4353	966185
314	4362	965081
315	4372	964259
316	4383	963534
317	4396	963476
318	4410	963476
319	4430	964681
320	4445	964943
321	4458	964800
322	4468	963848
323	4478	963124
324	4487	962148
325	4496	961032
326	4507	960386
327	4520	960197
328	4540	961577
329	4550	960811
330	4561	960116
331	4577	960564
332	4599	962266
333	4611	961847
334	4623	961481
335	4637	961479
336	4655	962363
337	4672	962973
338	4682	962303
339	4692	961317
340	4704	960960
341	4713	959951
342	4722	958954
343	4731	958053
344	4740	957078
345	4751	956506
346	4760	955588
347	4775	955763
348	4784	954813
349	4793	953908
350	4804	953414
351	4814	952530
352	4834	953769
353	4856	955439
354	4872	955862
355	4884	955637
356	4896	955221
357	4908	954807
358	4921	954702
359	4934	954458
360	4944	953786
361	4956	953391
362	4968	953223
363	4986	954018
364	5007	955411
365	5025	956117
366	5042	956722
367	5058	957194
368	5076	957933
369	5094	958644
370	5106	958336
371	5121	958644
372	5137	959045
373	5152	959269
374	5166	959175
375	5185	960209
376	5201	960670
377	5212	960072
378	5222	959369
379	5234	959013
380	5249	959234
381	5261	958932
382	5274	958794
383	5287	958559
384	5303	958934
385	5313	958239
386	5325	957884
387	5337	957621
388	5347	956971
389	5358	956511
390	5371	956274
391	5383	955897
392	5398	956155
393	5407	955367
394	5423	955625
395	5442	956643
396	5470	959119
397	5485	959217
398	5496	958781
399	5514	959538
400	5526	959202
401	5544	959867
402	5556	959556
403	5567	959066
404	5576	958339
405	5587	957778
406	5596	957021
407	5606	956270
408	5616	955592
409	5625	954820
410	5634	954000
411	5648	954066
412	5662	954029
413	5670	953192
414	5680	952441
415	5689	951722
416	5698	950905
417	5709	950352
418	5717	949555
419	5727	948851
420	5738	948372
421	5749	947876
422	5760	947544
423	5771	947012
424	5781	946544
425	5791	945839
426	5801	945196
427	5811	944740
428	5822	944219
429	5831	943550
430	5842	943055
431	5853	942564
432	5863	942092
433	5872	941363
434	5884	940999
435	5894	940484
436	5904	939968
437	5917	939777
438	5930	939707
439	5941	939371
440	5950	938608
441	5960	938027
442	5974	938081
443	5984	937444
444	6003	938437
445	6015	938055
446	6025	937539
447	6035	936944
448	6044	936324
449	6057	936204
450	6068	935785
451	6078	935319
452	6089	934955
453	6100	934551
454	6111	934153
455	6123	933847
456	6136	933868
457	6149	933759
458	6161	933537
459	6172	933119
460	6182	932618
461	6196	932615
462	6210	932673
463	6223	932684
464	6234	932257
465	6244	931745
466	6254	931302
467	6263	930616
468	6275	930341
469	6287	930092
470	6309	931369
471	6334	933117
472	6353	933942
473	6365	933632
474	6379	933786
475	6392	933743
476	6405	933644
477	6417	933454
478	6433	933790
479	6444	933308
480	6456	933095
481	6467	932782
482	6485	933493
483	6497	933194
484	6512	933504
485	6526	933479
486	6538	933268
487	6553	933528
488	6562	932842
489	6576	932916
490	6589	932810
491	6606	933303
492	6619	933236
493	6631	933001
494	6644	933040
495	6656	932755
496	6667	932459
497	6680	932292
498	6693	932326
499	6707	932289
500	6719	932189
501	6730	931758
502	6742	931518
503	6753	931237
504	6763	930807
505	6774	930423
506	6788	930495
507	6802	930583
508	6820	931221
509	6832	930954
510	6843	930589
511	6854	930253
512	6867	930194
